Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 67.0.3396.99,,2018-06-28 11:13:51,2018-06-28 11:13:51,"0,423s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:13:51,2018-06-28 11:13:52,"0,224s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:13:52,2018-06-28 11:13:52,"0,551s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:13:52,2018-06-28 11:13:52,"0,309s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 11:13:52,2018-06-28 11:14:02,"10,004s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:14:02,2018-06-28 11:14:07,"4,745s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:14:07,2018-06-28 11:14:08,"0,538s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:14:08,2018-06-28 11:14:13,"5,637s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-28 11:14:13,2018-06-28 11:14:15,"1,187s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by SKU when the user is registered,Chrome 67.0.3396.99,,2018-06-28 11:14:15,2018-06-28 11:14:53,"38,953s",FAILED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:14:15,2018-06-28 11:14:33,"17,280s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:14:33,2018-06-28 11:14:33,"0,381s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-28 11:14:33,2018-06-28 11:14:35,"2,030s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:14:35,2018-06-28 11:14:35,"0,238s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:14:35,2018-06-28 11:14:37,"1,247s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:14:37,2018-06-28 11:14:37,"0,560s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:14:37,2018-06-28 11:14:38,"0,499s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:14:38,2018-06-28 11:14:38,"0,278s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 11:14:38,2018-06-28 11:14:48,"10,005s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:14:48,2018-06-28 11:14:52,"3,889s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:14:52,2018-06-28 11:14:52,"0,354s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:14:52,2018-06-28 11:14:53,"1,225s",FAILED
,,,,,,
Test Cases/Basic Test cases/Search by SKU,Chrome 67.0.3396.99,,2018-06-28 11:14:54,2018-06-28 11:15:12,"18,894s",FAILED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:14:54,2018-06-28 11:15:11,"16,724s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:15:11,2018-06-28 11:15:11,"0,408s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:15:11,2018-06-28 11:15:12,"1,031s",FAILED
,,,,,,
Test Cases/Basic Test cases/Search full name,Chrome 67.0.3396.99,,2018-06-28 11:15:12,2018-06-28 11:15:42,"29,104s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:15:14,2018-06-28 11:15:35,"21,550s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:15:35,2018-06-28 11:15:36,"0,504s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:15:36,2018-06-28 11:15:40,"4,893s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-28 11:15:40,2018-06-28 11:15:42,"1,068s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search not full name,Chrome 67.0.3396.99,,2018-06-28 11:15:42,2018-06-28 11:16:06,"24,196s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:15:43,2018-06-28 11:15:59,"16,408s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:15:59,2018-06-28 11:15:59,"0,466s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:15:59,2018-06-28 11:16:04,"4,910s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-28 11:16:04,2018-06-28 11:16:06,"1,429s",PASSED
