Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search result,Chrome 67.0.3396.99,,2018-06-28 11:11:09,2018-06-28 11:16:07,"4m - 57,513s",FAILED
,,,,,,
Test Cases/Basic Test cases/Nothing found for after the user is registered,Chrome 67.0.3396.99,,2018-06-28 11:11:11,2018-06-28 11:12:17,"1m - 5,785s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:11:13,2018-06-28 11:11:53,"40,227s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:11:53,2018-06-28 11:11:53,"0,559s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-28 11:11:53,2018-06-28 11:11:56,"2,598s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:11:56,2018-06-28 11:11:56,"0,357s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:11:56,2018-06-28 11:11:57,"1,009s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:11:57,2018-06-28 11:11:58,"0,237s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:11:58,2018-06-28 11:11:58,"0,510s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:11:58,2018-06-28 11:11:59,"0,455s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 11:11:59,2018-06-28 11:12:09,"10,030s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:12:09,2018-06-28 11:12:10,"0,827s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:12:10,2018-06-28 11:12:16,"6,848s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-06-28 11:12:16,2018-06-28 11:12:17,"0,465s",PASSED
,,,,,,
Test Cases/Basic Test cases/Nothing Found For,Chrome 67.0.3396.99,,2018-06-28 11:12:17,2018-06-28 11:12:40,"22,724s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:12:18,2018-06-28 11:12:36,"18,007s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:12:36,2018-06-28 11:12:36,"0,328s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:12:36,2018-06-28 11:12:39,"3,076s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-06-28 11:12:39,2018-06-28 11:12:40,"0,261s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by full name when the user is registered,Chrome 67.0.3396.99,,2018-06-28 11:12:40,2018-06-28 11:13:28,"48,257s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:12:41,2018-06-28 11:13:01,"20,603s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:13:01,2018-06-28 11:13:02,"0,288s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-28 11:13:02,2018-06-28 11:13:03,"1,379s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:13:03,2018-06-28 11:13:04,"0,547s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:13:04,2018-06-28 11:13:04,"0,527s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:13:04,2018-06-28 11:13:04,"0,189s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:13:04,2018-06-28 11:13:05,"0,444s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:13:05,2018-06-28 11:13:05,"0,232s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-28 11:13:05,2018-06-28 11:13:15,"10,004s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:13:15,2018-06-28 11:13:20,"4,862s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-28 11:13:20,2018-06-28 11:13:20,"0,479s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-28 11:13:20,2018-06-28 11:13:26,"5,696s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-28 11:13:26,2018-06-28 11:13:28,"1,828s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by not full name when the user is registered,Chrome 67.0.3396.99,,2018-06-28 11:13:28,2018-06-28 11:14:15,"46,670s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-28 11:13:29,2018-06-28 11:13:47,"17,605s",PASSED
click,Chrome 67.0.3396.99,,2018-06-28 11:13:47,2018-06-28 11:13:48,"1,202s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-06-28 11:13:48,2018-06-28 11:13:51,"2,369s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-28 11:13:51,2018-06-28 11:13:51,"0,353s",PASSED
