Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
focus,Chrome 67.0.3396.99,,2018-06-27 16:32:40,2018-06-27 16:32:41,"0,453s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:32:41,2018-06-27 16:32:42,"1,126s",PASSED
submit,Chrome 67.0.3396.99,,2018-06-27 16:32:42,2018-06-27 16:32:42,"0,365s",PASSED
delay,Chrome 67.0.3396.99,,2018-06-27 16:32:42,2018-06-27 16:32:52,"10,004s",PASSED
focus,Chrome 67.0.3396.99,,2018-06-27 16:32:52,2018-06-27 16:32:58,"5,493s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:32:58,2018-06-27 16:32:59,"1,201s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:32:59,2018-06-27 16:33:05,"6,496s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:33:05,2018-06-27 16:33:07,"1,918s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search by SKU,Chrome 67.0.3396.99,,2018-06-27 16:33:07,2018-06-27 16:33:43,"35,609s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:33:09,2018-06-27 16:33:35,"25,790s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:33:35,2018-06-27 16:33:37,"2,181s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:33:37,2018-06-27 16:33:41,"4,016s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:33:41,2018-06-27 16:33:43,"1,976s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search full name,Chrome 67.0.3396.99,,2018-06-27 16:33:43,2018-06-27 16:34:24,"41,013s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:33:46,2018-06-27 16:34:07,"21,436s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:34:07,2018-06-27 16:34:11,"3,780s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:34:11,2018-06-27 16:34:23,"12,313s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:34:23,2018-06-27 16:34:24,"0,726s",PASSED
,,,,,,
Test Cases/Basic Test cases/Search not full name,Chrome 67.0.3396.99,,2018-06-27 16:34:24,2018-06-27 16:35:04,"39,639s",PASSED
callTestCase,Chrome 67.0.3396.99,,2018-06-27 16:34:26,2018-06-27 16:34:48,"21,838s",PASSED
setText,Chrome 67.0.3396.99,,2018-06-27 16:34:48,2018-06-27 16:34:51,"3,122s",PASSED
click,Chrome 67.0.3396.99,,2018-06-27 16:34:51,2018-06-27 16:35:03,"11,958s",PASSED
getText,Chrome 67.0.3396.99,,2018-06-27 16:35:03,2018-06-27 16:35:04,"0,519s",PASSED
